(887, 680),(828, 691),(770, 683),(726, 682),(689, 688),(772, 622),(734, 576),(716, 564),(707, 565),(808, 611),(785, 554),(769, 533),(759, 523),(850, 613),(839, 558),(829, 535),(819, 521),(896, 624),(907, 581),(912, 555),(913, 533)
(894, 651),(826, 655),(770, 642),(728, 636),(689, 632),(777, 575),(747, 542),(724, 522),(705, 507),(809, 564),(791, 519),(773, 493),(757, 474),(846, 567),(838, 520),(826, 491),(814, 467),(886, 580),(893, 545),(896, 518),(898, 491)
(905, 608),(829, 610),(774, 600),(732, 596),(697, 591),(785, 534),(758, 503),(735, 478),(712, 454),(818, 523),(802, 476),(785, 442),(770, 411),(852, 523),(845, 484),(832, 451),(820, 420),(885, 534),(889, 510),(887, 491),(886, 473)
(909, 568),(835, 572),(778, 557),(738, 546),(702, 536),(789, 498),(774, 454),(758, 422),(743, 397),(820, 489),(818, 448),(812, 418),(805, 392),(855, 493),(849, 475),(851, 483),(858, 495),(886, 502),(881, 493),(882, 500),(885, 510)
(886, 516),(830, 524),(776, 505),(739, 488),(706, 481),(789, 430),(758, 381),(741, 355),(724, 330),(823, 413),(798, 354),(783, 319),(768, 286),(861, 410),(844, 350),(833, 314),(820, 283),(901, 417),(905, 368),(909, 337),(908, 306)
(895, 507),(835, 506),(780, 488),(741, 472),(707, 463),(789, 408),(757, 364),(739, 335),(722, 309),(824, 392),(801, 334),(786, 297),(771, 262),(862, 388),(844, 331),(831, 294),(818, 261),(903, 395),(906, 346),(910, 312),(912, 279)
(882, 455),(828, 467),(779, 447),(747, 426),(718, 419),(792, 367),(761, 314),(746, 287),(734, 263),(827, 350),(804, 285),(790, 249),(777, 217),(866, 348),(851, 284),(841, 249),(830, 217),(907, 356),(911, 304),(915, 270),(914, 236)
(908, 438),(847, 441),(794, 424),(756, 405),(724, 388),(803, 334),(774, 289),(759, 261),(746, 233),(837, 316),(817, 258),(806, 220),(796, 182),(874, 314),(860, 254),(850, 216),(841, 180),(916, 323),(919, 278),(921, 247),(923, 214)
(916, 419),(858, 420),(806, 399),(769, 377),(738, 366),(815, 306),(785, 262),(770, 232),(759, 204),(848, 289),(828, 232),(818, 193),(811, 158),(883, 285),(870, 227),(861, 188),(852, 154),(923, 294),(927, 251),(931, 220),(934, 189)
(912, 369),(857, 385),(811, 372),(779, 356),(747, 348),(823, 292),(795, 239),(783, 209),(774, 181),(859, 276),(835, 213),(824, 178),(815, 144),(896, 273),(883, 210),(874, 172),(867, 137),(936, 278),(940, 230),(945, 199),(944, 168)
(932, 395),(880, 401),(828, 376),(794, 350),(766, 339),(843, 286),(817, 235),(805, 207),(796, 181),(875, 270),(855, 209),(846, 173),(837, 138),(910, 268),(898, 206),(892, 168),(884, 133),(947, 278),(952, 230),(955, 200),(956, 170)
(944, 398),(888, 401),(839, 376),(806, 349),(775, 338),(852, 284),(829, 233),(818, 203),(809, 175),(885, 269),(871, 208),(861, 171),(852, 138),(920, 266),(910, 205),(902, 168),(894, 134),(959, 275),(963, 226),(967, 194),(969, 162)
(963, 385),(925, 382),(900, 361),(891, 345),(881, 341),(885, 279),(862, 228),(854, 201),(845, 176),(918, 264),(903, 204),(897, 169),(890, 137),(953, 261),(944, 203),(942, 166),(936, 135),(990, 269),(999, 221),(1006, 191),(1007, 162)
(992, 390),(935, 397),(889, 374),(861, 352),(843, 340),(909, 283),(887, 232),(881, 201),(879, 175),(944, 268),(930, 207),(925, 171),(922, 138),(979, 266),(972, 205),(969, 169),(966, 136),(1017, 274),(1023, 225),(1028, 195),(1032, 166)
(1023, 391),(965, 403),(912, 381),(886, 353),(886, 336),(939, 285),(922, 236),(918, 207),(917, 178),(971, 270),(957, 211),(955, 176),(955, 139),(1004, 267),(994, 207),(992, 172),(991, 138),(1039, 272),(1039, 224),(1039, 192),(1038, 162)
(1050, 387),(999, 398),(956, 379),(930, 356),(914, 335),(968, 283),(952, 237),(951, 209),(953, 183),(998, 270),(987, 215),(987, 180),(991, 147),(1027, 269),(1019, 214),(1019, 180),(1021, 148),(1057, 276),(1053, 233),(1053, 206),(1052, 179)
(1046, 383),(1010, 398),(985, 379),(969, 357),(962, 336),(989, 290),(988, 243),(998, 215),(1009, 188),(1011, 275),(1019, 222),(1029, 190),(1040, 158),(1032, 269),(1041, 218),(1052, 185),(1059, 154),(1050, 272),(1061, 230),(1071, 203),(1077, 175)
(1038, 393),(1061, 353),(1064, 311),(1063, 282),(1066, 262),(1022, 271),(1034, 228),(1048, 195),(1065, 169),(1007, 285),(1030, 245),(1060, 231),(1084, 219),(1002, 306),(1039, 285),(1060, 301),(1067, 313),(1000, 330),(1035, 316),(1053, 331),(1058, 345)
(1157, 361),(1118, 363),(1093, 348),(1086, 342),(1096, 338),(1112, 238),(1120, 175),(1133, 157),(1147, 158),(1151, 236),(1160, 164),(1172, 144),(1184, 140),(1188, 250),(1200, 188),(1215, 169),(1226, 163),(1223, 276),(1241, 230),(1257, 208),(1266, 192)
(1189, 358),(1146, 374),(1117, 362),(1108, 354),(1107, 345),(1129, 266),(1132, 212),(1147, 188),(1164, 174),(1169, 256),(1173, 190),(1189, 162),(1209, 147),(1204, 258),(1210, 198),(1227, 174),(1243, 164),(1237, 266),(1244, 218),(1256, 197),(1267, 185)
