(357, 719),(331, 700),(319, 680),(318, 674),(324, 673),(418, 656),(456, 638),(463, 647),(449, 663),(451, 683),(504, 668),(510, 675),(493, 682),(467, 713),(520, 709),(517, 713),(497, 715),(470, 719),(511, 719),(517, 719),(508, 719)
(345, 719),(420, 719),(469, 718),(500, 705),(532, 700),(459, 677),(486, 646),(508, 632),(526, 623),(422, 672),(440, 639),(459, 620),(474, 604),(382, 675),(394, 641),(405, 619),(412, 601),(345, 686),(341, 657),(342, 630),(342, 608)
(335, 680),(402, 691),(454, 679),(491, 665),(527, 648),(445, 631),(473, 602),(498, 574),(521, 552),(426, 619),(455, 586),(482, 554),(504, 524),(402, 615),(432, 586),(454, 556),(470, 530),(376, 621),(398, 599),(409, 574),(419, 550)
(348, 641),(425, 646),(468, 633),(496, 617),(536, 599),(438, 610),(428, 628),(419, 629),(410, 621),(401, 611),(378, 637),(363, 633),(345, 618),(370, 616),(352, 637),(342, 632),(326, 621),(344, 623),(336, 634),(333, 628),(324, 615)
(340, 603),(400, 609),(458, 586),(498, 564),(534, 547),(441, 514),(474, 472),(496, 449),(520, 429),(409, 496),(434, 447),(456, 416),(480, 390),(372, 492),(391, 440),(409, 407),(428, 378),(332, 500),(332, 456),(335, 427),(341, 399)
(331, 577),(396, 575),(453, 553),(491, 533),(524, 513),(437, 475),(468, 434),(488, 407),(508, 383),(407, 458),(432, 413),(453, 384),(473, 355),(373, 453),(392, 405),(410, 375),(427, 348),(335, 460),(334, 418),(337, 390),(341, 360)
(326, 545),(389, 545),(448, 523),(488, 502),(518, 482),(430, 447),(463, 405),(483, 372),(501, 341),(400, 427),(427, 381),(447, 348),(466, 315),(366, 421),(386, 372),(404, 339),(420, 309),(329, 427),(330, 386),(332, 356),(335, 325)
(320, 512),(384, 513),(444, 491),(483, 469),(514, 448),(427, 411),(457, 370),(476, 337),(493, 305),(397, 391),(423, 347),(442, 314),(460, 280),(363, 385),(382, 337),(399, 304),(414, 273),(326, 392),(326, 352),(327, 323),(330, 291)
(323, 491),(384, 494),(443, 473),(482, 450),(514, 431),(429, 391),(459, 348),(476, 318),(493, 289),(398, 370),(424, 322),(442, 288),(459, 257),(363, 364),(384, 312),(401, 279),(415, 251),(324, 370),(324, 325),(326, 295),(329, 265)
(318, 465),(380, 468),(440, 445),(479, 421),(509, 400),(427, 365),(458, 319),(475, 286),(491, 255),(396, 343),(422, 293),(441, 259),(459, 226),(361, 336),(382, 283),(399, 248),(415, 219),(322, 340),(323, 295),(326, 265),(330, 234)
(317, 442),(380, 444),(439, 422),(477, 397),(506, 376),(425, 340),(454, 290),(471, 255),(486, 223),(394, 319),(421, 266),(440, 230),(457, 197),(360, 312),(381, 257),(398, 220),(413, 190),(322, 316),(323, 270),(326, 240),(329, 210)
(318, 422),(380, 427),(439, 401),(477, 377),(505, 360),(423, 313),(453, 267),(469, 237),(484, 208),(393, 293),(419, 241),(438, 206),(453, 175),(359, 287),(379, 233),(396, 198),(409, 169),(321, 292),(322, 247),(324, 216),(327, 186)
(311, 409),(372, 415),(431, 393),(469, 367),(500, 351),(415, 304),(446, 256),(463, 229),(477, 203),(385, 284),(413, 228),(431, 195),(445, 166),(352, 277),(375, 221),(392, 187),(406, 159),(314, 280),(317, 233),(320, 201),(323, 172)
(297, 405),(358, 411),(418, 388),(457, 362),(489, 344),(402, 301),(434, 254),(449, 226),(462, 201),(372, 281),(402, 226),(420, 192),(434, 164),(339, 272),(364, 217),(381, 183),(397, 155),(301, 276),(306, 229),(311, 198),(316, 170)
(287, 404),(351, 409),(412, 386),(452, 360),(485, 343),(396, 301),(427, 254),(444, 226),(459, 201),(366, 281),(394, 225),(412, 191),(427, 163),(333, 273),(357, 217),(374, 183),(390, 154),(295, 276),(298, 228),(302, 198),(308, 170)
(267, 405),(327, 415),(389, 393),(430, 366),(463, 344),(375, 307),(410, 259),(429, 232),(444, 207),(347, 286),(380, 231),(400, 198),(416, 169),(314, 277),(340, 222),(359, 188),(375, 159),(275, 280),(283, 232),(288, 202),(294, 176)
(245, 412),(303, 423),(363, 400),(402, 374),(433, 354),(351, 312),(388, 262),(407, 234),(421, 209),(322, 290),(355, 233),(374, 201),(388, 172),(287, 281),(314, 225),(331, 192),(347, 164),(248, 285),(256, 235),(260, 204),(265, 178)
(209, 415),(270, 427),(332, 403),(375, 375),(408, 356),(320, 317),(358, 266),(376, 237),(390, 211),(289, 294),(323, 235),(341, 202),(355, 173),(254, 286),(281, 228),(298, 195),(313, 166),(215, 290),(224, 238),(227, 208),(233, 180)
(171, 417),(233, 429),(296, 406),(338, 381),(367, 360),(285, 319),(322, 268),(338, 239),(349, 213),(253, 296),(287, 237),(303, 204),(315, 174),(217, 288),(245, 230),(260, 195),(272, 165),(178, 292),(189, 241),(193, 210),(199, 182)
(134, 418),(194, 433),(257, 412),(299, 389),(325, 366),(246, 320),(281, 267),(297, 237),(307, 210),(215, 299),(247, 238),(262, 203),(274, 171),(179, 291),(205, 233),(218, 198),(231, 167),(140, 297),(149, 248),(153, 217),(159, 187)
(67, 436),(133, 442),(198, 424),(240, 394),(274, 373),(190, 330),(225, 279),(242, 248),(255, 216),(158, 305),(192, 247),(210, 213),(224, 181),(121, 294),(148, 237),(164, 202),(178, 169),(79, 293),(91, 242),(97, 210),(102, 178)
