11,12,13,14,15,16,17,18,19,21,22,23,24,25,26
L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
(121, 321),(97, 298),(90, 257),(96, 230),(87, 218),(82, 207),(82, 199),(77, 188),(69, 175),(36, 208),(59, 257),(64, 285),(68, 313),(69, 346),(86, 329)
(115, 325),(116, 298),(110, 260),(115, 236),(109, 219),(105, 205),(102, 197),(99, 185),(93, 168),(64, 204),(77, 254),(82, 284),(84, 314),(85, 347),(75, 333)
(113, 335),(132, 292),(128, 252),(131, 229),(127, 208),(123, 195),(119, 187),(116, 175),(109, 156),(83, 190),(93, 243),(95, 272),(98, 306),(101, 338),(68, 340)
(114, 345),(143, 285),(140, 242),(140, 220),(135, 195),(132, 182),(128, 174),(125, 162),(118, 143),(100, 179),(100, 229),(101, 260),(104, 295),(107, 329),(63, 346)
(116, 354),(152, 278),(145, 234),(146, 213),(141, 187),(137, 172),(133, 164),(128, 153),(121, 133),(111, 172),(104, 218),(104, 252),(107, 286),(110, 320),(61, 352)
(121, 321),(130, 258),(124, 213),(124, 187),(123, 171),(120, 157),(115, 145),(112, 134),(103, 118),(67, 148),(83, 207),(86, 238),(89, 272),(94, 308),(80, 347)
(122, 338),(142, 247),(135, 197),(133, 171),(131, 152),(128, 139),(123, 126),(121, 115),(112, 99),(69, 123),(89, 188),(92, 222),(94, 258),(97, 294),(82, 359)
(125, 349),(149, 240),(142, 188),(139, 160),(137, 138),(133, 124),(127, 113),(126, 103),(117, 85),(67, 114),(91, 178),(95, 213),(97, 249),(100, 286),(82, 359)
(128, 359),(154, 236),(147, 181),(145, 151),(141, 126),(136, 111),(129, 100),(127, 91),(119, 72),(64, 113),(91, 170),(96, 205),(98, 242),(102, 284),(81, 359)
(130, 320),(124, 251),(116, 203),(116, 178),(114, 163),(110, 149),(106, 137),(103, 126),(93, 110),(56, 139),(73, 200),(77, 232),(80, 267),(84, 303),(88, 348)
(134, 338),(134, 235),(126, 181),(124, 157),(121, 143),(117, 128),(113, 114),(112, 103),(101, 86),(56, 110),(78, 179),(81, 212),(84, 250),(86, 287),(91, 359)
(138, 352),(141, 227),(133, 169),(131, 143),(128, 127),(123, 113),(119, 99),(117, 88),(107, 70),(55, 103),(79, 167),(82, 201),(85, 240),(88, 278),(90, 359)
(139, 359),(147, 221),(139, 160),(138, 133),(132, 113),(128, 98),(124, 84),(121, 73),(109, 55),(52, 104),(79, 157),(83, 191),(86, 232),(89, 275),(89, 359)
(138, 322),(116, 248),(108, 198),(107, 174),(104, 159),(100, 144),(97, 133),(95, 122),(84, 106),(46, 135),(64, 199),(68, 231),(71, 265),(74, 302),(95, 348)
(144, 338),(124, 231),(117, 176),(114, 151),(109, 139),(105, 123),(103, 110),(102, 98),(89, 82),(45, 107),(68, 177),(69, 210),(73, 247),(76, 285),(96, 359)
(146, 350),(130, 221),(123, 162),(120, 136),(114, 125),(110, 108),(108, 94),(106, 83),(93, 67),(43, 100),(69, 164),(70, 197),(75, 236),(78, 276),(94, 359)
(145, 359),(136, 214),(129, 152),(127, 126),(118, 112),(113, 94),(112, 81),(110, 69),(96, 54),(40, 99),(69, 153),(70, 187),(76, 227),(79, 273),(93, 359)
(144, 325),(107, 249),(98, 198),(97, 174),(94, 159),(91, 144),(87, 133),(84, 122),(75, 107),(37, 134),(55, 202),(58, 234),(61, 266),(63, 305),(100, 346)
(150, 338),(109, 233),(99, 178),(98, 153),(96, 141),(92, 123),(88, 111),(86, 100),(75, 87),(32, 111),(54, 183),(56, 216),(59, 250),(62, 290),(100, 357)
(152, 346),(112, 222),(101, 164),(99, 138),(100, 128),(94, 110),(90, 97),(89, 86),(76, 73),(29, 102),(54, 171),(55, 204),(57, 239),(62, 281),(97, 359)
(152, 354),(116, 213),(103, 153),(102, 125),(103, 116),(96, 96),(91, 84),(91, 72),(77, 61),(28, 97),(53, 160),(53, 193),(56, 229),(62, 276),(96, 359)
